panel,x,sorted,random,maxwellian
b_survival,0.132061,0.0009749755859,0.8947137451,0.8949357851
b_survival,0.136407,0.0009748535156,0.8913016357,0.8914997425
b_survival,0.140895,0.000974609375,0.8877327881,0.8879527769
b_survival,0.145531,0.0009743652344,0.8840695801,0.8842914551
b_survival,0.150320,0.0009743652344,0.8802617188,0.8805122527
b_survival,0.155266,0.0009743652344,0.8763741455,0.8766115534
b_survival,0.160375,0.0009743652344,0.872357666,0.8725856483
b_survival,0.165652,0.0009742431641,0.8681740723,0.8684307357
b_survival,0.171103,0.0009739990234,0.8638719482,0.8641429204
b_survival,0.176733,0.0009739990234,0.8594447021,0.8597182145
b_survival,0.182548,0.0009738769531,0.8548961182,0.8551525373
b_survival,0.188555,0.0009737548828,0.8501859131,0.8504417162
b_survival,0.194759,0.0009733886719,0.8453426514,0.8455814879
b_survival,0.201168,0.0009733886719,0.8403173828,0.8405675003
b_survival,0.207787,0.0009732666016,0.8351431885,0.8353953141
b_survival,0.214624,0.0009730224609,0.8298110352,0.8300604056
b_survival,0.221686,0.0009729003906,0.8243223877,0.8245581701
b_survival,0.228981,0.0009727783203,0.8186274414,0.818883926
b_survival,0.236515,0.00097265625,0.8128024902,0.813032919
b_survival,0.244298,0.00097265625,0.8067192383,0.807000328
b_survival,0.252336,0.0009724121094,0.8005189209,0.8007812713
b_survival,0.260639,0.0009721679687,0.7941582031,0.7943708145
b_survival,0.269215,0.0009721679687,0.7875610352,0.7877639785
b_survival,0.278074,0.0009721679687,0.7807984619,0.7809557495
b_survival,0.287224,0.0009721679687,0.7738046875,0.7739410901
b_survival,0.296675,0.0009719238281,0.7665344238,0.766714952
b_survival,0.306437,0.0009718017578,0.7590906982,0.7592722901
b_survival,0.316520,0.0009718017578,0.7513731689,0.751608078
b_survival,0.326935,0.0009718017578,0.7434958496,0.7437173264
b_survival,0.337692,0.0009718017578,0.7353758545,0.7355951024
b_survival,0.348804,0.0009716796875,0.7270444336,0.7272365519
b_survival,0.360281,0.0009716796875,0.718421875,0.7186369237
b_survival,0.372136,0.0009715576172,0.7095693359,0.7097915964
b_survival,0.384381,0.0009714355469,0.7005,0.7006961087
b_survival,0.397029,0.0009711914063,0.6911408691,0.6913461914
b_survival,0.410093,0.0009710693359,0.6815911865,0.6817378036
b_survival,0.423587,0.0009710693359,0.6717172852,0.6718671718
b_survival,0.437525,0.0009708251953,0.6615594482,0.6617308325
b_survival,0.451921,0.0009705810547,0.6511589355,0.651325679
b_survival,0.466792,0.0009703369141,0.6404388428,0.6406490113
b_survival,0.482151,0.0009702148438,0.6295272217,0.629698591
b_survival,0.498016,0.0009700927734,0.6183366699,0.6184726998
b_survival,0.514403,0.0009699707031,0.6068679199,0.6069702027
b_survival,0.531329,0.0009696044922,0.5950994873,0.5951906155
b_survival,0.548812,0.0009693603516,0.5830184326,0.5831341772
b_survival,0.566871,0.0009692382812,0.5707027588,0.570801926
b_survival,0.585523,0.0009691162109,0.558137207,0.558195781
b_survival,0.604790,0.0009689941406,0.5452825928,0.5453186271
b_survival,0.624690,0.0009689941406,0.5321833496,0.5321744046
b_survival,0.645245,0.0009688720703,0.5187894287,0.5187682022
b_survival,0.666477,0.0009688720703,0.5051391602,0.5051063534
b_survival,0.688407,0.00096875,0.4912067871,0.4911965349
b_survival,0.711059,0.0009683837891,0.4771663818,0.4770478679
b_survival,0.734456,0.0009680175781,0.4627487793,0.4626710185
b_survival,0.758623,0.0009678955078,0.4482342529,0.448078299
b_survival,0.783585,0.0009674072266,0.4333911133,0.4332837669
b_survival,0.809368,0.0009672851562,0.4183903809,0.418303319
b_survival,0.836000,0.0009669189453,0.4031970215,0.4031547814
b_survival,0.863508,0.0009663085938,0.387911499,0.3878579905
b_survival,0.891922,0.0009660644531,0.372489502,0.3724348627
b_survival,0.921270,0.0009656982422,0.3570428467,0.3569094514
b_survival,0.951584,0.0009650878906,0.3414244385,0.3413079859
b_survival,0.982895,0.0009645996094,0.32575354,0.3256588899
